"RS","Fluency NP","Fluency SS","Originality NP","Originality SS","Elaboration NP","Elaboration SS","Titles NP","Titles SS","Closure NP","Closure SS","Average/Index SS/CI","Average/Index SS/NP","Average/Index CI/NP","Elaboration Map 1","Elaboration Map 2","Elaboration Map 3"
1,1,40,1,40,1,40,1,40,1,40,41,1,1,1,1,1
2,1,51,1,51,1,51,2,55,1,54,42,1,1,1,1,1
3,1,53,1,54,3,58,5,62,2,57,43,1,1,1,1,1
4,1,56,2,59,9,68,7,70,4,63,44,1,1,1,1,1
5,1,57,3,62,20,77,12,75,6,67,45,1,1,1,1,1
6,2,58,5,66,34,88,17,79,10,72,46,1,1,2,1,1
7,2,61,9,71,50,99,24,85,14,77,47,1,1,2,1,1
8,4,63,14,76,66,110,32,90,20,82,48,1,1,2,1,2
9,6,68,19,81,79,119,41,95,26,86,49,1,1,2,2,2
10,9,72,26,86,88,127,51,100,33,91,50,1,1,2,2,2
11,13,76,33,90,93,135,60,105,41,95,51,1,1,2,2,2
12,17,80,40,94,97,141,68,110,48,99,52,1,1,2,2,2
13,22,84,47,98,98,146,76,115,56,103,53,1,1,3,2,2
14,27,87,54,102,99,151,82,119,64,107,54,1,1,3,2,2
15,32,90,61,106,99,154,86,123,72,112,55,1,1,3,2,2
16,37,93,68,109,99,156,90,127,49,118,56,1,1,3,2,2
17,42,96,74,113,99,158,93,132,86,124,57,1,1,3,2,3
18,47,98,80,117,99,160,95,136,91,132,58,1,1,3,3,3
19,52,101,84,121,99,160,97,140,95,140,59,1,1,3,3,3
20,58,104,88,125,99,160,98,144,97,148,60,1,1,4,3,3
21,64,107,91,128,99,160,99,149,99,154,61,1,1,4,3,3
22,69,110,93,131,99,160,99,153,99,158,62,1,1,4,3,3
23,74,113,95,134,99,160,99,156,99,160,63,1,1,4,3,3
24,79,116,96,139,99,160,99,158,99,160,64,2,1,4,3,3
25,83,119,97,142,99,160,99,160,99,160,65,2,1,4,3,3
26,86,122,98,146,99,160,99,160,99,160,66,2,1,4,3,3
27,89,125,99,149,99,160,99,160,99,160,67,2,1,5,3,3
28,91,128,99,150,99,160,99,160,99,160,68,3,1,5,3,4
29,93,130,99,150,99,160,99,160,99,160,69,3,2,5,4,4
30,94,133,99,150,99,160,99,160,99,160,70,4,2,5,4,4
31,96,135,99,150,99,160,99,160,99,160,71,4,2,5,4,4
32,96,137,99,150,99,160,99,160,99,160,72,4,2,5,4,4
33,97,139,99,150,99,160,99,160,99,160,73,5,2,5,4,4
34,97,140,99,152,99,160,99,160,99,160,74,5,2,6,4,4
35,98,143,99,154,99,160,99,160,99,160,75,6,3,,4,4
36,98,145,99,156,99,160,99,160,99,160,76,7,3,,4,4
37,99,147,99,158,99,160,99,160,99,160,77,9,3,,4,4
38,99,149,99,160,99,160,99,160,99,160,78,10,3,,4,5
39,99,152,99,160,99,160,99,160,99,160,79,11,4,,4,5
40,99,154,99,160,99,160,99,160,99,160,80,13,4,,5,5
41,99,154,99,160,99,160,99,160,99,160,81,14,5,,5,5
42,99,154,99,160,99,160,99,160,99,160,82,16,5,,5,5
43,99,154,99,160,99,160,99,160,99,160,83,18,6,,5,5
44,99,154,99,160,99,160,99,160,99,160,84,20,7,,5,5
45,99,154,99,160,99,160,99,160,99,160,85,23,8,,5,5
,,,,,,,,,,,86,25,9,,5,5
,,,,,,,,,,,87,27,10,,5,5
,,,,,,,,,,,88,29,11,,5,6
,,,,,,,,,,,89,31,13,,5,
,,,,,,,,,,,90,33,14,,5,
,,,,,,,,,,,91,36,16,,6,
,,,,,,,,,,,92,38,17,,,
,,,,,,,,,,,93,40,19,,,
,,,,,,,,,,,94,41,21,,,
,,,,,,,,,,,95,43,22,,,
,,,,,,,,,,,96,45,24,,,
,,,,,,,,,,,97,48,26,,,
,,,,,,,,,,,98,50,28,,,
,,,,,,,,,,,99,52,29,,,
,,,,,,,,,,,100,55,31,,,
,,,,,,,,,,,101,57,33,,,
,,,,,,,,,,,102,60,35,,,
,,,,,,,,,,,103,62,37,,,
,,,,,,,,,,,104,65,40,,,
,,,,,,,,,,,105,68,42,,,
,,,,,,,,,,,106,70,44,,,
,,,,,,,,,,,107,73,45,,,
,,,,,,,,,,,108,76,47,,,
,,,,,,,,,,,109,78,49,,,
,,,,,,,,,,,110,81,51,,,
,,,,,,,,,,,111,83,53,,,
,,,,,,,,,,,112,85,55,,,
,,,,,,,,,,,113,87,57,,,
,,,,,,,,,,,114,88,60,,,
,,,,,,,,,,,115,90,62,,,
,,,,,,,,,,,116,91,65,,,
,,,,,,,,,,,117,92,68,,,
,,,,,,,,,,,118,94,70,,,
,,,,,,,,,,,119,95,73,,,
,,,,,,,,,,,120,95,76,,,
,,,,,,,,,,,121,96,78,,,
,,,,,,,,,,,122,97,80,,,
,,,,,,,,,,,123,97,82,,,
,,,,,,,,,,,124,98,83,,,
,,,,,,,,,,,125,98,85,,,
,,,,,,,,,,,126,99,87,,,
,,,,,,,,,,,127,99,88,,,
,,,,,,,,,,,128,99,90,,,
,,,,,,,,,,,129,99,91,,,
,,,,,,,,,,,130,99,92,,,
,,,,,,,,,,,131,99,93,,,
,,,,,,,,,,,132,99,94,,,
,,,,,,,,,,,133,99,94,,,
,,,,,,,,,,,134,99,95,,,
,,,,,,,,,,,135,99,96,,,
,,,,,,,,,,,136,99,97,,,
,,,,,,,,,,,137,99,98,,,
,,,,,,,,,,,138,99,98,,,
,,,,,,,,,,,139,99,99,,,
,,,,,,,,,,,140,99,99,,,
,,,,,,,,,,,141,99,99,,,
,,,,,,,,,,,142,99,99,,,
,,,,,,,,,,,143,99,99,,,
,,,,,,,,,,,144,99,99,,,
,,,,,,,,,,,145,99,99,,,
,,,,,,,,,,,146,99,99,,,
,,,,,,,,,,,147,99,99,,,
,,,,,,,,,,,148,99,99,,,
,,,,,,,,,,,149,99,99,,,
,,,,,,,,,,,150,99,99,,,
,,,,,,,,,,,151,99,99,,,
,,,,,,,,,,,152,99,99,,,
,,,,,,,,,,,153,99,99,,,
,,,,,,,,,,,154,99,99,,,
,,,,,,,,,,,155,99,99,,,
,,,,,,,,,,,156,99,99,,,
,,,,,,,,,,,157,99,99,,,
,,,,,,,,,,,158,99,99,,,
,,,,,,,,,,,159,99,99,,,
,,,,,,,,,,,160,99,99,,,
